frame,time_seconds,plate_text,plate_confidence,car_box,plate_box_in_frame
168,6.72,LA8254S,0.2037,"(374, 348, 789, 716)","(482, 625, 573, 653)"
168,6.72,RGO6L,0.1159,"(1255, 178, 1608, 591)","(1354, 520, 1439, 547)"
169,6.76,LA8254S,0.1991,"(375, 348, 789, 716)","(483, 625, 573, 653)"
169,6.76,TRGO6L,0.0336,"(1249, 183, 1603, 599)","(1348, 527, 1433, 554)"
170,6.8,LA8254S,0.1991,"(375, 348, 789, 716)","(483, 625, 573, 653)"
170,6.8,AR6O6L,0.1027,"(1245, 187, 1599, 606)","(1342, 533, 1426, 560)"
171,6.84,LA8254S,0.1991,"(375, 348, 789, 716)","(483, 625, 573, 653)"
171,6.84,IR6O6LI,0.0989,"(1235, 193, 1594, 612)","(1336, 541, 1421, 567)"
172,6.88,LA8254S,0.1871,"(374, 348, 789, 716)","(482, 625, 573, 653)"
172,6.88,IRGO6D,0.0797,"(1233, 200, 1590, 620)","(1329, 548, 1415, 574)"
172,6.88,IRGOBL,0.0937,"(1235, 201, 1590, 622)","(1324, 544, 1417, 575)"
173,6.92,LA8254S,0.2037,"(374, 348, 789, 716)","(482, 625, 573, 653)"
173,6.92,IRGO6L,0.1611,"(1221, 204, 1585, 632)","(1322, 555, 1408, 583)"
173,6.92,IRBO6LI,0.1198,"(1220, 205, 1585, 633)","(1319, 553, 1410, 584)"
174,6.96,LA8254S,0.2037,"(374, 348, 789, 716)","(482, 625, 573, 653)"
174,6.96,RGO6L,0.1884,"(1215, 208, 1582, 640)","(1314, 563, 1402, 590)"
174,6.96,IRGO6L,0.2849,"(1215, 208, 1581, 640)","(1310, 563, 1403, 590)"
175,7.0,LA8254S,0.2037,"(374, 348, 789, 716)","(482, 625, 573, 653)"
175,7.0,IRGO6L,0.1148,"(1208, 216, 1578, 647)","(1307, 571, 1395, 598)"
175,7.0,IR6O6LL,0.0634,"(1208, 214, 1576, 645)","(1304, 568, 1397, 598)"
176,7.04,LA8254S,0.2037,"(374, 348, 789, 716)","(482, 625, 573, 653)"
176,7.04,RGO6L,0.1935,"(1198, 219, 1575, 653)","(1300, 578, 1389, 605)"
176,7.04,IREO6,0.1544,"(1199, 221, 1576, 654)","(1296, 576, 1392, 606)"
177,7.08,LA8254S,0.2037,"(374, 348, 789, 716)","(482, 625, 573, 653)"
177,7.08,IRGO6LL,0.1752,"(1193, 222, 1571, 660)","(1293, 586, 1380, 613)"
177,7.08,IR6O6L,0.4225,"(1193, 224, 1570, 660)","(1291, 585, 1382, 614)"
178,7.12,LA8254S,0.2037,"(374, 348, 789, 716)","(482, 625, 573, 653)"
178,7.12,IR6O6L,0.239,"(1183, 228, 1567, 668)","(1284, 594, 1373, 621)"
178,7.12,IR6O6L,0.0882,"(1183, 225, 1567, 668)","(1282, 594, 1373, 621)"
179,7.16,LA8254S,0.2037,"(374, 348, 789, 715)","(482, 625, 573, 653)"
179,7.16,IRGO6L,0.147,"(1179, 226, 1561, 678)","(1277, 602, 1366, 629)"
180,7.2,EA82545,0.1457,"(374, 348, 790, 715)","(483, 624, 573, 653)"
180,7.2,IAR6O6LL,0.0619,"(1170, 231, 1557, 687)","(1269, 610, 1359, 637)"
181,7.24,EA82545,0.1457,"(374, 348, 790, 715)","(483, 624, 573, 653)"
181,7.24,ARGO6L,0.091,"(1159, 225, 1555, 694)","(1262, 617, 1351, 648)"
182,7.28,LA8254S,0.2037,"(374, 348, 789, 715)","(482, 625, 573, 653)"
182,7.28,ARGO6L,0.1102,"(1150, 227, 1554, 702)","(1253, 627, 1344, 657)"
183,7.32,LA8254S,0.2037,"(374, 348, 789, 715)","(482, 625, 573, 653)"
183,7.32,ARGO6L,0.1873,"(1142, 227, 1551, 711)","(1244, 636, 1335, 665)"
184,7.36,EA82545,0.1457,"(374, 348, 790, 715)","(483, 624, 573, 653)"
184,7.36,RGOGL,0.7662,"(1136, 233, 1548, 723)","(1235, 644, 1326, 674)"
185,7.4,EA82545,0.1457,"(374, 348, 790, 715)","(483, 624, 573, 653)"
185,7.4,ARGOGLI,0.3068,"(1118, 251, 1534, 731)","(1224, 652, 1318, 682)"
186,7.44,EA82545,0.1457,"(374, 348, 790, 715)","(483, 624, 573, 653)"
186,7.44,RGOGL,0.4951,"(1113, 258, 1534, 738)","(1217, 661, 1308, 692)"
187,7.48,LA8254S,0.2037,"(374, 348, 789, 715)","(482, 625, 573, 653)"
187,7.48,JARGOGLI,0.1369,"(1103, 276, 1517, 748)","(1207, 670, 1299, 700)"
188,7.52,LA8254S,0.2037,"(374, 348, 789, 715)","(482, 625, 573, 653)"
188,7.52,ZR6O6L,0.0589,"(1093, 294, 1502, 760)","(1196, 680, 1290, 709)"
189,7.56,LA8254S,0.2037,"(374, 348, 789, 715)","(482, 625, 573, 653)"
189,7.56,ZARGO6L,0.0489,"(1081, 298, 1496, 769)","(1187, 690, 1281, 719)"
190,7.6,LA8254S,0.2037,"(374, 348, 789, 715)","(482, 625, 573, 653)"
190,7.6,ARGO6L,0.1494,"(1067, 304, 1492, 780)","(1175, 700, 1271, 729)"
191,7.64,A8254S,0.127,"(375, 348, 789, 715)","(482, 624, 573, 653)"
191,7.64,RGOGL,0.0283,"(1057, 309, 1483, 789)","(1164, 709, 1261, 739)"
192,7.68,LA8254S,0.2037,"(374, 348, 789, 715)","(482, 625, 573, 653)"
192,7.68,ARGO6LI,0.1324,"(1049, 320, 1477, 801)","(1153, 720, 1249, 749)"
193,7.72,LA8254S,0.2037,"(374, 348, 789, 716)","(482, 625, 573, 653)"
193,7.72,ARGO6L,0.4714,"(1033, 325, 1472, 810)","(1142, 729, 1239, 759)"
193,7.72,ARGO6L,0.2581,"(1028, 324, 1473, 813)","(1139, 727, 1243, 759)"
194,7.76,LA8254S,0.2037,"(374, 348, 789, 716)","(482, 625, 573, 653)"
194,7.76,ARGOG,0.0975,"(970, 334, 1462, 822)","(1131, 739, 1228, 770)"
194,7.76,ARGO6L,0.1743,"(972, 331, 1463, 822)","(1128, 739, 1229, 771)"
195,7.8,LA8254S,0.2037,"(374, 348, 789, 716)","(482, 625, 573, 653)"
195,7.8,TRGOGLI,0.1421,"(977, 336, 1450, 830)","(1120, 749, 1217, 782)"
196,7.84,LA8254S,0.2037,"(374, 348, 789, 716)","(482, 625, 573, 653)"
196,7.84,ARGOGL,0.1837,"(982, 343, 1442, 845)","(1107, 760, 1206, 791)"
196,7.84,KRGOSL,0.05,"(983, 343, 1441, 846)","(1103, 759, 1206, 790)"
197,7.88,LA8254S,0.2037,"(374, 348, 789, 716)","(482, 625, 573, 653)"
197,7.88,IRGOGL,0.2949,"(971, 353, 1432, 856)","(1095, 771, 1193, 802)"
197,7.88,KR6OSL,0.0986,"(971, 353, 1432, 854)","(1092, 771, 1195, 802)"
198,7.92,LA8254S,0.2037,"(374, 348, 789, 716)","(482, 625, 573, 653)"
198,7.92,IRGOGL,0.2074,"(966, 359, 1426, 868)","(1082, 782, 1182, 813)"
198,7.92,R6OSL,0.1339,"(966, 360, 1425, 866)","(1079, 781, 1182, 812)"
199,7.96,LA8254S,0.2037,"(374, 348, 789, 716)","(482, 625, 573, 653)"
199,7.96,IARGOGLL,0.0636,"(959, 368, 1417, 878)","(1070, 793, 1170, 824)"
199,7.96,KRGOGL,0.1333,"(957, 370, 1416, 879)","(1067, 793, 1172, 824)"
200,8.0,LA8254S,0.2037,"(374, 348, 789, 716)","(482, 625, 573, 653)"
200,8.0,IARGOGL,0.049,"(947, 379, 1404, 891)","(1057, 805, 1158, 836)"
200,8.0,1REOGL,0.0217,"(948, 377, 1405, 888)","(1054, 803, 1160, 837)"
201,8.04,EA82545,0.2197,"(375, 348, 788, 717)","(483, 624, 573, 653)"
201,8.04,ARGOGL,0.4901,"(934, 386, 1398, 904)","(1045, 817, 1146, 848)"
201,8.04,JARGOGL,0.4749,"(933, 387, 1398, 900)","(1042, 815, 1147, 849)"
202,8.08,IA8254,0.289,"(374, 349, 788, 717)","(482, 625, 573, 654)"
202,8.08,ARGO6LI,0.3999,"(917, 396, 1396, 913)","(1033, 828, 1133, 860)"
203,8.12,IA8254,0.289,"(374, 349, 788, 717)","(482, 625, 573, 654)"
203,8.12,EARGOOL,0.221,"(903, 407, 1399, 927)","(1018, 841, 1120, 873)"
204,8.16,EA8254S,0.1786,"(374, 348, 788, 717)","(482, 624, 573, 653)"
204,8.16,EARGOOL,0.0753,"(893, 412, 1400, 943)","(1004, 854, 1107, 886)"
205,8.2,EA8254S,0.1786,"(374, 348, 788, 717)","(482, 624, 573, 653)"
205,8.2,ARGO6L,0.2791,"(877, 419, 1385, 953)","(990, 866, 1093, 899)"
205,8.2,IRGOEL,0.0472,"(877, 423, 1389, 951)","(985, 863, 1093, 899)"
206,8.24,EA8254S,0.1786,"(374, 348, 788, 717)","(482, 624, 573, 653)"
206,8.24,ARGOGL,0.2127,"(862, 430, 1385, 963)","(975, 878, 1079, 913)"
206,8.24,AR6OEL,0.05,"(861, 427, 1385, 963)","(972, 877, 1081, 914)"
207,8.28,IA8254S,0.2156,"(374, 348, 787, 717)","(483, 625, 573, 653)"
207,8.28,AR6O6L,0.3857,"(847, 434, 1338, 976)","(958, 892, 1065, 927)"
207,8.28,EAR6O6L,0.3692,"(845, 432, 1339, 975)","(954, 892, 1067, 928)"
208,8.32,IA8254S,0.2156,"(374, 348, 787, 717)","(483, 625, 573, 653)"
208,8.32,EAR6OBL,0.1234,"(830, 443, 1325, 992)","(945, 906, 1050, 940)"
209,8.36,IA8254S,0.2156,"(374, 348, 787, 717)","(483, 625, 573, 653)"
209,8.36,ARGOOL,0.5432,"(816, 452, 1314, 1009)","(930, 918, 1036, 953)"
210,8.4,IA8254S,0.2156,"(374, 348, 787, 717)","(483, 625, 573, 653)"
210,8.4,ARGOOLL,0.4478,"(799, 462, 1304, 1024)","(914, 932, 1020, 967)"
211,8.44,EA82545,0.176,"(374, 348, 787, 717)","(483, 624, 573, 653)"
211,8.44,ARGOGL,0.4778,"(780, 471, 1296, 1036)","(897, 946, 1003, 982)"
211,8.44,JARGO6LI,0.1395,"(780, 474, 1294, 1037)","(892, 943, 1005, 982)"
212,8.48,EA8254S,0.1729,"(374, 348, 788, 717)","(482, 624, 573, 653)"
212,8.48,EARGOGLI,0.2365,"(764, 479, 1292, 1047)","(881, 962, 991, 996)"
213,8.52,EA8254S,0.1729,"(374, 349, 787, 717)","(482, 624, 573, 653)"
213,8.52,EARGOGL,0.2562,"(748, 494, 1296, 1062)","(864, 977, 973, 1011)"
214,8.56,EA82545,0.176,"(374, 349, 787, 716)","(483, 624, 573, 653)"
214,8.56,RGOGL,0.2292,"(730, 501, 1278, 1073)","(846, 991, 957, 1027)"
215,8.6,IA8254S,0.1581,"(374, 349, 788, 717)","(482, 625, 573, 654)"
215,8.6,ARGOGLL,0.1663,"(711, 511, 1269, 1074)","(830, 1007, 941, 1043)"
216,8.64,EA8254S,0.1729,"(374, 349, 787, 717)","(482, 624, 573, 653)"
216,8.64,RGOGL,0.4463,"(694, 515, 1224, 1074)","(810, 1022, 923, 1059)"
217,8.68,IA82545,0.2193,"(373, 349, 788, 716)","(483, 625, 573, 654)"
217,8.68,IARGOGL,0.0569,"(673, 528, 1214, 1073)","(793, 1038, 907, 1073)"
218,8.72,LA8254S,0.1427,"(373, 348, 786, 712)","(482, 625, 573, 653)"
218,8.72,GT,0.0197,"(656, 542, 1198, 1073)","(776, 1054, 892, 1073)"
219,8.76,EA8254S,0.1641,"(373, 348, 786, 712)","(482, 625, 573, 653)"
220,8.8,IA82545,0.242,"(373, 351, 785, 714)","(482, 624, 573, 654)"
221,8.84,EA8254S,0.1641,"(373, 348, 786, 712)","(482, 625, 573, 653)"
222,8.88,IA8254,0.2714,"(373, 347, 786, 713)","(482, 625, 573, 654)"
223,8.92,LA8254S,0.1295,"(373, 347, 786, 711)","(482, 625, 572, 653)"
224,8.96,EA8254S,0.1736,"(373, 347, 787, 711)","(482, 625, 573, 652)"
224,8.96,545,0.5177,"(539, 616, 1129, 1071)","(539, 628, 576, 653)"
225,9.0,IA8254S,0.398,"(373, 346, 786, 710)","(482, 624, 572, 654)"
225,9.0,3254S,0.2239,"(518, 630, 1104, 1071)","(518, 630, 574, 654)"
226,9.04,82545,0.746,"(373, 347, 785, 710)","(482, 624, 573, 654)"
226,9.04,CUGE,0.0074,"(497, 641, 1084, 1071)","(497, 641, 577, 655)"
227,9.08,IA8254S,0.398,"(373, 346, 786, 710)","(482, 624, 572, 654)"
228,9.12,8254S,0.5228,"(373, 346, 785, 710)","(481, 624, 573, 653)"
229,9.16,82545,0.746,"(373, 347, 785, 710)","(482, 624, 573, 654)"
230,9.2,82545,0.5622,"(373, 346, 785, 711)","(482, 624, 572, 653)"
231,9.24,EA8254S,0.1736,"(373, 347, 785, 712)","(482, 625, 573, 652)"
232,9.28,LA8254S,0.1289,"(373, 349, 785, 714)","(482, 625, 573, 653)"
233,9.32,LA8254S,0.2006,"(372, 349, 785, 714)","(482, 625, 573, 654)"
234,9.36,82545,0.6454,"(374, 347, 788, 717)","(482, 624, 573, 653)"
235,9.4,82545,0.6454,"(374, 347, 788, 717)","(482, 624, 573, 653)"
236,9.44,82545,0.6454,"(374, 347, 788, 717)","(482, 624, 573, 653)"
237,9.48,82545,0.6454,"(374, 347, 788, 716)","(482, 624, 573, 653)"
238,9.52,82545,0.6454,"(374, 347, 788, 716)","(482, 624, 573, 653)"
239,9.56,82545,0.6454,"(374, 347, 788, 716)","(482, 624, 573, 653)"
240,9.6,EA8254S,0.0788,"(374, 347, 788, 716)","(482, 624, 573, 653)"
241,9.64,EA8254S,0.1176,"(374, 348, 788, 715)","(482, 624, 573, 653)"
242,9.68,EA8254S,0.1577,"(375, 347, 788, 715)","(482, 625, 573, 653)"
243,9.72,EA8254S,0.1577,"(375, 347, 788, 715)","(482, 625, 573, 653)"
244,9.76,LA8254S,0.145,"(375, 347, 788, 715)","(482, 625, 574, 653)"
245,9.8,E48254S,0.2484,"(375, 348, 788, 715)","(482, 624, 574, 652)"
246,9.84,LA8254S,0.145,"(375, 347, 788, 715)","(482, 625, 574, 653)"
246,9.84,,0.0,"(1830, 4, 1919, 204)","(1891, 133, 1919, 155)"
247,9.88,LA8254S,0.145,"(375, 347, 788, 715)","(482, 625, 574, 653)"
247,9.88,,0.0,"(1819, 0, 1919, 207)","(1878, 136, 1918, 161)"
248,9.92,LA8254S,0.145,"(375, 347, 788, 715)","(482, 625, 574, 653)"
248,9.92,10,0.0225,"(1804, 0, 1919, 209)","(1867, 141, 1918, 164)"
249,9.96,LA8254S,0.145,"(375, 347, 788, 715)","(482, 625, 574, 653)"
249,9.96,JE1Y,0.0096,"(1792, 0, 1918, 214)","(1854, 145, 1913, 169)"
250,10.0,LA8254S,0.145,"(375, 347, 788, 715)","(482, 625, 574, 653)"
250,10.0,I4EJO,0.0345,"(1780, 0, 1919, 217)","(1844, 148, 1902, 174)"
251,10.04,4U,0.0653,"(1768, 0, 1918, 220)","(1832, 151, 1892, 178)"
251,10.04,E48254S,0.2209,"(375, 348, 788, 715)","(482, 624, 573, 652)"
252,10.08,403,0.0938,"(1753, 0, 1919, 225)","(1821, 156, 1882, 181)"
252,10.08,E48254S,0.2209,"(375, 348, 788, 715)","(482, 624, 573, 652)"
253,10.12,JNTJ03,0.0508,"(1743, 0, 1919, 232)","(1810, 160, 1871, 185)"
253,10.12,E48254S,0.2209,"(375, 348, 788, 715)","(482, 624, 573, 652)"
254,10.16,4T6J03,0.0289,"(1731, 0, 1919, 232)","(1800, 165, 1861, 189)"
254,10.16,E48254S,0.2209,"(375, 348, 788, 715)","(482, 624, 573, 652)"
255,10.2,I63,0.0552,"(1719, 0, 1919, 243)","(1789, 169, 1850, 194)"
255,10.2,E48254S,0.2209,"(375, 348, 788, 715)","(482, 624, 573, 652)"
256,10.24,JHET7105,0.0127,"(1708, 0, 1918, 246)","(1778, 174, 1840, 199)"
256,10.24,E48254S,0.2209,"(375, 348, 788, 715)","(482, 624, 573, 652)"
257,10.28,1703,0.1646,"(1698, 0, 1919, 253)","(1770, 180, 1832, 205)"
257,10.28,LA8254S,0.2801,"(374, 349, 788, 715)","(483, 625, 573, 653)"
258,10.32,1B03,0.1106,"(1687, 0, 1919, 259)","(1759, 187, 1821, 210)"
258,10.32,LA8254S,0.2801,"(374, 349, 788, 715)","(483, 625, 573, 653)"
259,10.36,1JO,0.0845,"(1674, 0, 1918, 261)","(1750, 190, 1812, 216)"
259,10.36,LA8254S,0.2801,"(374, 349, 788, 715)","(483, 625, 573, 653)"
260,10.4,1OS,0.0479,"(1664, 0, 1919, 269)","(1738, 196, 1803, 222)"
260,10.4,1A82545,0.0841,"(374, 348, 788, 715)","(483, 624, 573, 653)"
261,10.44,4EJOS,0.0285,"(1653, 0, 1919, 275)","(1729, 201, 1794, 227)"
261,10.44,1A82545,0.0812,"(374, 348, 788, 715)","(483, 624, 573, 653)"
262,10.48,1OS,0.0171,"(1643, 0, 1919, 282)","(1718, 206, 1785, 232)"
262,10.48,1A82545,0.0841,"(374, 348, 788, 715)","(483, 624, 573, 653)"
263,10.52,105,0.2151,"(1633, 0, 1919, 286)","(1710, 210, 1775, 238)"
263,10.52,1A82545,0.0841,"(374, 348, 788, 715)","(483, 624, 573, 653)"
264,10.56,1705,0.1129,"(1624, 0, 1919, 294)","(1702, 216, 1768, 242)"
264,10.56,1A82545,0.0841,"(374, 348, 788, 715)","(483, 624, 573, 653)"
265,10.6,LA8254S,0.2801,"(374, 349, 788, 715)","(483, 625, 573, 653)"
265,10.6,10S,0.0789,"(1614, 0, 1918, 297)","(1693, 220, 1760, 247)"
266,10.64,14T705,0.1006,"(1606, 3, 1919, 304)","(1685, 227, 1752, 252)"
266,10.64,LA8254S,0.2801,"(374, 349, 788, 715)","(483, 625, 573, 653)"
267,10.68,LA8254S,0.2801,"(374, 349, 788, 715)","(483, 625, 573, 653)"
267,10.68,1X705,0.1524,"(1596, 8, 1919, 310)","(1677, 234, 1745, 259)"
268,10.72,1A82545,0.0841,"(374, 348, 788, 715)","(483, 624, 573, 653)"
268,10.72,J70,0.0559,"(1587, 11, 1919, 319)","(1669, 241, 1737, 266)"
269,10.76,ILTO70S,0.0058,"(1581, 17, 1919, 325)","(1661, 247, 1731, 272)"
269,10.76,1A82545,0.0841,"(374, 348, 788, 715)","(483, 624, 573, 653)"
270,10.8,1A82545,0.0841,"(374, 348, 788, 715)","(483, 624, 573, 653)"
270,10.8,1LF76770S,0.0355,"(1570, 21, 1919, 330)","(1655, 254, 1725, 278)"
271,10.84,1A82545,0.0841,"(374, 348, 788, 715)","(483, 624, 573, 653)"
271,10.84,LF705,0.1369,"(1559, 23, 1919, 338)","(1648, 261, 1718, 285)"
272,10.88,1A82545,0.0941,"(374, 348, 788, 715)","(483, 624, 573, 653)"
272,10.88,IF6JOS,0.0222,"(1551, 28, 1918, 344)","(1642, 269, 1711, 291)"
273,10.92,I6705,0.2032,"(1542, 35, 1918, 348)","(1636, 272, 1706, 298)"
273,10.92,1A82545,0.0853,"(374, 348, 788, 715)","(483, 624, 573, 653)"
274,10.96,W6705,0.07,"(1537, 41, 1917, 355)","(1628, 278, 1700, 304)"
274,10.96,1A82545,0.086,"(374, 348, 788, 715)","(483, 624, 573, 653)"
275,11.0,4670S,0.079,"(1532, 47, 1917, 359)","(1623, 284, 1694, 309)"
275,11.0,5A8254S,0.1448,"(374, 348, 788, 715)","(483, 624, 573, 653)"
276,11.04,5A8254S,0.1435,"(374, 348, 788, 716)","(483, 624, 573, 653)"
276,11.04,146703,0.0941,"(1526, 49, 1912, 366)","(1616, 289, 1688, 315)"
277,11.08,5A8254S,0.1435,"(374, 348, 788, 716)","(483, 624, 573, 653)"
277,11.08,14705,0.0348,"(1515, 56, 1903, 372)","(1609, 296, 1681, 319)"
278,11.12,5A8254S,0.1435,"(374, 348, 788, 716)","(483, 624, 573, 653)"
278,11.12,146705,0.2301,"(1507, 61, 1892, 380)","(1604, 301, 1676, 326)"
279,11.16,5A8254S,0.1436,"(374, 348, 788, 716)","(483, 624, 573, 653)"
279,11.16,I6705,0.1142,"(1498, 66, 1885, 387)","(1597, 308, 1670, 332)"
280,11.2,5A8254S,0.1201,"(374, 348, 788, 716)","(483, 624, 573, 653)"
280,11.2,W6705,0.1515,"(1491, 70, 1875, 393)","(1591, 312, 1664, 338)"
281,11.24,IE6705,0.3848,"(1485, 75, 1869, 399)","(1581, 321, 1658, 346)"
281,11.24,IA82545,0.1741,"(373, 348, 788, 716)","(483, 625, 573, 654)"
282,11.28,IA82545,0.134,"(373, 348, 788, 716)","(483, 625, 573, 654)"
282,11.28,ILE670S,0.2285,"(1477, 81, 1862, 405)","(1577, 330, 1652, 352)"
283,11.32,5A8254S,0.1094,"(374, 347, 788, 716)","(483, 624, 573, 653)"
283,11.32,ILE6705,0.1218,"(1471, 86, 1853, 417)","(1572, 337, 1647, 360)"
284,11.36,5A8254S,0.1094,"(374, 348, 788, 716)","(483, 624, 573, 653)"
284,11.36,IE675,0.176,"(1464, 92, 1847, 424)","(1565, 343, 1640, 367)"
285,11.4,5A8254S,0.1094,"(374, 348, 788, 716)","(483, 624, 573, 653)"
285,11.4,IE6705,0.4569,"(1452, 97, 1843, 431)","(1558, 349, 1635, 374)"
286,11.44,5A8254S,0.1094,"(374, 348, 788, 716)","(483, 624, 573, 653)"
286,11.44,IE6705,0.2921,"(1441, 101, 1834, 441)","(1551, 358, 1630, 383)"
287,11.48,5A8254S,0.1094,"(374, 348, 788, 716)","(483, 624, 573, 653)"
287,11.48,IE67OS,0.2743,"(1440, 105, 1831, 445)","(1547, 365, 1625, 389)"
288,11.52,IA82545,0.1547,"(373, 348, 788, 716)","(483, 625, 573, 654)"
288,11.52,I670S,0.2682,"(1433, 110, 1824, 453)","(1541, 373, 1619, 396)"
289,11.56,IA82545,0.1552,"(373, 348, 788, 716)","(483, 625, 573, 654)"
289,11.56,JAE67OS,0.3857,"(1429, 115, 1819, 462)","(1535, 380, 1613, 404)"
290,11.6,IA82545,0.1547,"(373, 348, 788, 716)","(483, 625, 573, 654)"
290,11.6,JAE6705,0.4063,"(1421, 123, 1805, 468)","(1528, 387, 1607, 413)"
291,11.64,A8254S,0.2104,"(373, 347, 788, 716)","(483, 625, 573, 653)"
291,11.64,IAE6705,0.2708,"(1414, 128, 1801, 476)","(1523, 394, 1602, 421)"
292,11.68,5A8254S,0.1095,"(374, 348, 788, 717)","(483, 624, 573, 653)"
292,11.68,L670S,0.0262,"(1409, 133, 1794, 485)","(1516, 400, 1597, 427)"
292,11.68,EAE6Z05,0.0674,"(1409, 133, 1795, 484)","(1511, 400, 1598, 428)"
293,11.72,5A8254S,0.1095,"(374, 348, 788, 717)","(483, 624, 573, 653)"
293,11.72,OE6705,0.0823,"(1402, 141, 1790, 490)","(1509, 410, 1591, 435)"
294,11.76,UAE6705,0.1794,"(1394, 146, 1782, 496)","(1503, 418, 1585, 443)"
294,11.76,5A8254S,0.1095,"(374, 348, 788, 716)","(483, 624, 573, 653)"
295,11.8,5A8254S,0.1094,"(374, 348, 788, 716)","(483, 624, 573, 653)"
295,11.8,UAE670S,0.0536,"(1388, 153, 1778, 503)","(1496, 427, 1579, 451)"
296,11.84,A8254S,0.2065,"(374, 348, 788, 716)","(483, 625, 573, 653)"
296,11.84,UAE6705,0.3954,"(1380, 158, 1771, 512)","(1490, 434, 1573, 459)"
297,11.88,A8254S,0.2324,"(374, 348, 788, 716)","(483, 625, 573, 653)"
297,11.88,IT670S,0.099,"(1372, 164, 1766, 523)","(1482, 439, 1568, 466)"
298,11.92,OAE6705,0.089,"(1362, 170, 1758, 531)","(1475, 448, 1561, 474)"
298,11.92,A8254S,0.1033,"(375, 349, 789, 715)","(483, 624, 573, 653)"
299,11.96,UAE6705,0.1857,"(1355, 175, 1754, 541)","(1468, 455, 1554, 484)"
299,11.96,LA8254S,0.4603,"(373, 349, 787, 717)","(483, 627, 573, 654)"
300,12.0,LA8254S,0.407,"(374, 352, 787, 714)","(483, 625, 573, 651)"
300,12.0,IAE610S,0.0758,"(1346, 185, 1750, 548)","(1462, 461, 1547, 491)"
301,12.04,JAE6705,0.2713,"(1339, 186, 1744, 558)","(1454, 470, 1539, 500)"
301,12.04,LA82545,0.3736,"(375, 347, 787, 716)","(482, 628, 572, 655)"
302,12.08,IL6705,0.0392,"(1332, 196, 1737, 569)","(1447, 480, 1533, 508)"
302,12.08,LA82545,0.2886,"(373, 349, 787, 715)","(483, 625, 573, 653)"
303,12.12,4AE6705,0.1099,"(1323, 202, 1730, 576)","(1438, 489, 1526, 518)"
303,12.12,LA82545,0.4063,"(374, 347, 788, 716)","(482, 626, 573, 652)"
304,12.16,LA82545,0.2202,"(374, 346, 788, 716)","(482, 626, 573, 653)"
304,12.16,JAE67OS,0.3366,"(1314, 208, 1725, 587)","(1430, 499, 1518, 528)"
305,12.2,IAE6705,0.2089,"(1305, 217, 1721, 596)","(1423, 506, 1512, 538)"
305,12.2,LA8254S,0.4859,"(374, 347, 788, 716)","(483, 625, 573, 652)"
306,12.24,JAE6705,0.3268,"(1297, 220, 1716, 607)","(1415, 519, 1504, 546)"
